rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count
61,yukina-takamatsu,高松 (Takamatsu),ahkimn,Yukina-,https://discord.com/users/146677783299358720,TAK,JP,564954,13135,5224
62,yukina-kagoshima-kirishima,鹿児島 (Kagoshima),ahkimn,Yukina-,https://discord.com/users/146677783299358720,KOJ,JP,542021,10719,3562
63,louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,SDF,US,530833,48045,3488
64,catania,Catania,Maximilian284,Maximilian284,https://github.com/Maximilian284,CAT,IT,530181,7992,3552
65,winnipeg,Winnipeg,devenperez,devenperez,https://github.com/devenperez,YWG,CA,502477,4154,2137
66,quebec-city,Quebec City,devenperez,devenperez,https://github.com/devenperez,YQB,CA,497019,4131,2176
67,santa-barbara,Santa Barbara,rslurry,rslurry,https://github.com/rslurry,SBA,US,475304,30058,1431
68,jerusalem,Jerusalem,BarKuperman,BarKuperman,https://github.com/BarKuperman,JER,IL,473200,2366,650
69,yukina-nagasaki,長崎 (Nagasaki),ahkimn,Yukina-,https://discord.com/users/146677783299358720,NGS,JP,467566,14369,5003
70,genoa,Genoa,Maximilian284,Maximilian284,https://github.com/Maximilian284,GEN,IT,456057,6547,1881
71,bologna,Bologna,Maximilian284,Maximilian284,https://github.com/Maximilian284,BOL,IT,454179,5584,2714
72,richmond,Richmond,rslurry,rslurry,https://github.com/rslurry,RIC,US,452742,63651,1780
73,piedmont-triad,Piedmont Triad,PSWBSF,PSWBSF,https://github.com/PSWBSF,WGH,US,452333,49019,2580
74,waterloo,Region of Waterloo,Kronifer,Kronifer,https://github.com/Kronifer,YKF,CA,437817,3001,881
75,yukina-nakaumi,中海 (Nakaumi),ahkimn,Yukina-,https://discord.com/users/146677783299358720,IZO,JP,432069,15037,6375
76,yukina-matsuyama,松山 (Matsuyama),ahkimn,Yukina-,https://discord.com/users/146677783299358720,MYJ,JP,378465,11132,3231
77,albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,ALB,US,328703,26823,1694
78,mfn-madisonwi,Madison,crumpetime,crumpetime,https://github.com/crumpetime,MSN,US,327350,48129,2101
79,knoxville,Knoxville,rslurry,rslurry,https://github.com/rslurry,KNOX,US,323445,45836,1520
80,yukina-yamagata,山形 (Yamagata),ahkimn,Yukina-,https://discord.com/users/146677783299358720,GAJ,JP,323354,11161,4254
81,yukina-kochi,高知 (Kōchi),ahkimn,Yukina-,https://discord.com/users/146677783299358720,KCZ,JP,304853,9664,3461
82,dayton-oh,Dayton,PSWBSF,PSWBSF,https://github.com/PSWBSF,DAY,US,280804,25820,1559
83,rochester,Rochester,rslurry,rslurry,https://github.com/rslurry,ROC,US,270140,24806,832
84,mfn-northwestar,Northwest Arkansas,crumpetime,crumpetime,https://github.com/crumpetime,XNA,US,261959,38101,3064
85,providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,PVD,US,233115,13933,683
86,yukina-hakodate,函館 (Hakodate),ahkimn,Yukina-,https://discord.com/users/146677783299358720,HKD,JP,195695,6588,2182
87,trondheim-val,Trondheim,Valdotorium,Valdotorium,https://github.com/Valdotorium,TRD,NO,194310,1764,123
88,colorado-ski-country,Colorado Ski Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,EGE,US,167071,8868,2140
89,spokane,Spokane,ryandicicco,ryandicicco,https://github.com/ryandicicco,GEG,US,157109,16695,526
90,wilmington-nc,"Wilmington, NC",PSWBSF,PSWBSF,https://github.com/PSWBSF,WIL,US,83410,3737,333
